,0,1,2,3,4
466,2019-01-05,서울특별시,서초구,양재1동,6
467,2019-01-05,서울특별시,성북구,길음제1동,6
468,2019-01-05,서울특별시,성북구,종암동,6
469,2019-01-05,서울특별시,송파구,오금동,6
470,2019-01-05,서울특별시,양천구,목4동,6
471,2019-01-05,서울특별시,은평구,구산동,6
472,2019-01-05,서울특별시,은평구,응암제3동,6
473,2019-01-05,서울특별시,은평구,진관동,6
474,2019-01-05,서울특별시,중랑구,묵제1동,6
475,2019-01-05,서울특별시,중랑구,신내2동,6
476,2019-01-05,서울특별시,강남구,대치1동,5
477,2019-01-05,경기도,하남시,풍산동,5
478,2019-01-05,서울특별시,강남구,논현1동,5
479,2019-01-05,서울특별시,강동구,명일제1동,5
480,2019-01-05,서울특별시,강동구,상일동,5
481,2019-01-05,서울특별시,강동구,암사제1동,5
482,2019-01-05,서울특별시,강북구,송천동,5
483,2019-01-05,서울특별시,강서구,방화제3동,5
484,2019-01-05,서울특별시,광진구,구의제1동,5
485,2019-01-05,서울특별시,광진구,화양동,5
486,2019-01-05,서울특별시,구로구,개봉제1동,5
487,2019-01-05,서울특별시,노원구,상계1동,5
488,2019-01-05,서울특별시,노원구,월계2동,5
489,2019-01-05,서울특별시,도봉구,쌍문제3동,5
490,2019-01-05,서울특별시,동대문구,답십리제4동,5
491,2019-01-05,서울특별시,동작구,노량진제2동,5
492,2019-01-05,서울특별시,동작구,대방동,5
493,2019-01-05,서울특별시,마포구,대흥동,5
494,2019-01-05,서울특별시,송파구,가락본동,5
495,2019-01-05,서울특별시,송파구,잠실3동,5
496,2019-01-05,서울특별시,은평구,증산동,5
497,2019-01-05,서울특별시,종로구,사직동,5
498,2019-01-05,서울특별시,종로구,창신제1동,5
499,2019-01-05,서울특별시,중구,회현동,5
500,2019-01-05,서울특별시,중랑구,중화제1동,5
501,2019-01-05,경기도,과천시,과천동,4
502,2019-01-05,경기도,성남시분당구,야탑1동,4
503,2019-01-05,서울특별시,강남구,일원본동,4
504,2019-01-05,서울특별시,강동구,둔촌제2동,4
505,승차일자,시/도,시/군/구,동/읍/면,승차건수
506,2019-01-06,서울특별시,영등포구,여의동,25
507,2019-01-06,서울특별시,서초구,양재1동,19
508,2019-01-06,서울특별시,강서구,등촌제3동,18
509,2019-01-06,서울특별시,노원구,하계1동,18
510,2019-01-06,서울특별시,서대문구,신촌동,18
511,2019-01-06,서울특별시,은평구,역촌동,16
512,2019-01-06,서울특별시,강북구,번제3동,14
513,2019-01-06,서울특별시,노원구,월계1동,13
514,2019-01-06,서울특별시,노원구,월계2동,13
515,2019-01-06,서울특별시,송파구,오륜동,13
516,2019-01-06,서울특별시,송파구,장지동,13
517,2019-01-06,서울특별시,강남구,일원본동,12
518,2019-01-06,서울특별시,강동구,천호제2동,12
519,2019-01-06,서울특별시,구로구,구로제5동,12
